Manga,First Issue,Final Issue,Manga artist
Yūto (ユート (漫画), ユート),#11, 2005,#32, 2005,Yumi Hotta, Kei Kawano
Majin Tantei Nōgami Neuro (魔人探偵脳噛ネウロ, 魔人探偵脳噛ネウロ),#12, 2005,#21, 2009,Yūsei Matsui
K.O. Sen (K.O.SEN),#2, 2008,#15, 2008,Katsutoshi Murase
Muddy (MUDDY),#3, 2008,#16, 2008,Ai Matsumoto (as Shō Aimoto)
Shiritsu Poseidon Gakuen Kōtōbu (私立ポセイドン学園高等部),#4-5, 2008,#24, 2008,Shinichirō Ōe
Nurarihyon no Mago (ぬらりひょんの孫),#15, 2008,#30, 2012 (completed in Jump Next!),Hiroshi Shībashi
Bari Haken (バリハケン),#16, 2008,#52, 2008,Shinya Suzuki
Double Arts (ダブルアーツ),#17, 2008,#41, 2008,Naoshi Komi
Hetappi Manga Kenkyūjo R (ヘタッピマンガ研究所R),#22-23, 2008,#24, 2010,Yusuke Murata
Toriko (トリコ),#25, 2008,#51, 2016,Mitsutoshi Shimabukuro
Dogashi Kaden! (どがしかでん!),#27, 2008,#40, 2008,Kosuke Hamada
Bakuman. (バクマン。),#37-38, 2008,#21-22, 2012,Tsugumi Ohba, Takeshi Obata
Inumarudashii (いぬまるだしっ),#39, 2008,#27, 2012,Kōji Ōishi
Chagecha (チャゲチャ),#42, 2008,#49, 2008,Yoshio Sawai
Asklepios (アスクレピオス),#43, 2008,#11, 2009,Tōru Uchimizu
Meister (マイスター),#1, 2009,#12, 2009,Kaji Kimiya
Kuroko no Basuke (黒子のバスケ),#2, 2009,#40, 2014,Tadatoshi Fujimaki
Bokke-san (ぼっけさん),#3, 2009,#22-23, 2009,Yoshiyuki Nishi
Beelzebub (べるぜバブ),#13, 2009,#13, 2014,Tamura Ryūhei
Hoopmen (フープメン),#14, 2009,#31, 2009,Kawaguchi Yukinori
Medaka Box (めだかボックス),#24, 2009,#22-23, 2013,Nisio Isin, Akira Akatsuki
Akaboshi: Ibun Suikoden (AKABOSHI -異聞水滸伝-),#25, 2009,#49, 2009,Yōichi Amano
Anedoki (あねどきっ),#32, 2009,#7, 2010,Mizuki Kawashita
Kagijin (鍵人-カギジン-),#33, 2009,#50, 2009,Yasuki Tanaka
Wasshoi! Waji Mania (わっしょい! わじマニア),#34, 2009,#51, 2009,Satoshi Wajima
Hokenshitsu no Shinigami (保健室の死神),#41, 2009,#29, 2011 (completed in Jump Next!),Shō Aimoto
Super Dog Rilienthal (賢い犬リリエンタール),#42, 2009,#23, 2010,Daisuke Ashihara
Neko Wappa! (ねこわっぱ!),#50, 2009,#11, 2010,Naoya Matsumoto
Shinseiki Idol Densetsu Kanata Seven Change (新世紀アイドル伝説 彼方セブンチェンジ),#51, 2009,#12, 2010,Shūichi Asō
