Manga,First Issue,Final Issue,Manga artist
Yūto (ユート (漫画), ユート),#11, 2005,#32, 2005,Yumi Hotta, Kei Kawano
Majin Tantei Nōgami Neuro (魔人探偵脳噛ネウロ, 魔人探偵脳噛ネウロ),#12, 2005,#21, 2009,Yūsei Matsui
Kain (カイン),#24, 2005,#43, 2005,Tōru Uchimizu
Takaya -Senbu Gakuen Gekitōden- (タカヤ -閃武学園激闘伝-),#25, 2005,#26, 2006,Yūjirō Sakamoto
Kirihōshi (切法師, 切法師),#26, 2005,#44, 2005,Yūki Nakajima
Mieru Hito (みえるひと, みえるひと),#33, 2005,#42, 2006,Toshiaki Iwashiro
Taizo Moteō Sāga (太臓もて王サーガ, 太臓もて王サーガ),#34, 2005,#24, 2007,Amon Dai
Beshari Kurashi (べしゃり暮らし, べしゃり暮らし),#44, 2005,#30, 2006 (moved to Weekly Young Jump),Masanori Morita
Ōdorobō Poruta (大泥棒ポルタ, 大泥棒ポルタ),#45, 2005,#9, 2006,Kazuki Kitashima
Shinsetsu Bobobōbo Bōbobo (真説ボボボーボ・ボーボボ),#3, 2006,#31, 2007,Yoshio Sawai
Tsugihagi Hyōryūsakka (ツギハギ漂流作家),#10, 2006,#32, 2006,Kōhei Nishi
Maison Du Penguin (メゾン・ド・ペンギン),#11, 2006,#24, 2007,Kōji Ōishi
Takaya -Yoake no Enjinō- (タカヤ -夜明けの炎刃王-),#13, 2006,#26, 2006,Yūjirō Sakamoto
Nazo no Murasame-kun (謎の村雨くん),#20, 2006,#43, 2006,Mikio Itō
To Love-Ru (To LOVEる -とらぶる-),#21-22, 2006,#40, 2009,Saki Hasemi, Kentaro Yabuki
M×0 (エム×ゼロ),#23, 2006,#25, 2008,Yasuhiro Kano
Over Time (OVER TIME),#33, 2006,#52, 2006,Yōichi Amano
Zan (斬),#34, 2006,#52, 2006,Naoya Sugita
P2! -Let's Play Pingpong!- (P2! - let's Play Pingpong! -),#43, 2006,#52, 2007 (completed in Akamaru Jump),Tatsuma Ejiri
Hand's (HAND'S -ハンズ-),#44, 2006,#1, 2007,Yūichi Itakura
Blue Dragon RalΩGrad (BLUE DRAGON ラルΩグラド),#1, 2007,#32, 2007,Tsuneo Takano, Takeshi Obata
Corrector M&Y (神力契約者M&Y),#2, 2007,#13, 2007,Akira Akatsuki
Junbor Balutronica (重機人間ユンボル),#3, 2007,#14, 2007,Hiroyuki Takei
Samurai Usagi (サムライうさぎ),#14, 2007,#33, 2008,Teppei Fukushima
Volleyball Tsukai Godago (バレーボール使い 郷田豪),#15, 2007,#39, 2007,Ichiro Takahashi
Boku no Watashi no Yusha Gaku (ぼくのわたしの勇者学),#24, 2007,#35, 2008,Shuichi Aso
Hitomi no Catoblepas (瞳のカトブレパス),#25, 2007,#40, 2007,Yasuki Tanaka
Belmonde Le VisiteuR (ベルモンド Le VisiteuR),#32, 2007,#51, 2007,Shōei Ishioka
Sket Dance (SKET DANCE),#33, 2007,#32, 2013,Kenta Shinohara
Hatsukoi Limited (初恋限定。),#44, 2007,#26, 2008,Mizuki Kawashita
Psyren (PSYREN -サイレン-),#1, 2008,#52, 2010,Toshiaki Iwashiro
