Manga,First Issue ,Final Issue ,Mangaka  
Mister Lion (ミスターライオン),#12 1985,#21 1985,Shinobu Ōnishi  
City Hunter (シティーハンター),#13 1985,#50 1991,Tsukasa Hojo  
Tsuide ni Tonchinkan (ついでにとんちんかん),#14 1985,#22 1989,Koichi Endo  
Sakigake!! Otokojuku (魁!!男塾),#22 1985,#35 1991,Akira Miyashita  
Sumomo (すもも SUMOMO),#23 1985,#32 1985,Shun Amanuma  
Tobu Kyōshitsu (飛ぶ教室),#24 1985,#38 1985,Tsutomu Hiramatsu  
Black Knight Bat (BLACK KNIGHT バット),#31 1985,#40 1985,Buichi Terasawa  
Just Ace (ジャストACE),#32 1985,#41 1985,Hiroki Inoue  
Wolf ni Kiss (ウルフにKISS),#39 1985,#51 1985,Hiro Terashima  Kenichi Kotani 
Surely!! (ショーリ!!),#40 1985,#52 1985,Taku Chiba  
Road Runner (ロードランナー ROAD RUNNER),#41 1985,#12 1986,Ryūji Tsugihara  
Love and Fire (ラブ&ファイヤー),#51 1985,#13 1986,Shinji Hiramatsu  
Chōkidōin Vander (超機動員ヴァンダー),#52 1985,#21 1986,Masakazu Katsura  
Saint Seiya (聖闘士星矢),#1-2 1986,#49 1990,Masami Kurumada  
Uwasa no Boy (うわさのBOY),#3-4 1986,#22 1986,Nonki Miyasu  
Sekiryūō (赤龍王),#13 1986,#12 1987,Hiroshi Motomiya  
Animal Kenshi (アニマル拳士),#14 1986,#23 1986,Shōichi Yagihashi  
Tāheruana Atsuko (ターヘルアナ富子),#22 1986,#36 1986,Masaya Tokuhiro  
Hanattare Boogie (はなったれBoogie),#23 1986,#31 1986,Makoto Isshiki  
Metal K (メタルK),#24 1986,#33 1986,Kōji Maki  
Sasuke Ninden (サスケ忍伝),#32 1986,#41 1986,Yoshihiro Kuroiwa  
Sora no Canvas (空のキャンバス),#33 1986,#41 1987,Shinji Imaizumi  
Hustle Kenpō Tsuyoshi (ハッスル拳法つよし),#37 1986,#46 1986,Tsutoshi Hiramatsu  
Kuon... (くおん…),#42 1986,#52 1986,Hiroyuki Kawashima  
Kenritsu Umisora Kōkō Yakyū Buin Yamashita Tarō-kun (県立海空高校野球部員山下たろーくん),#44 1986,#32 1990,Kōji Koseki  
Kirara (キララ),#47 1986,#11 1987,Shinji Hiramatsu  
Akaten Kyōshi Nashimoto Kotetsu (アカテン教師梨本小鉄),#52 1986,#31 1987,Keiichi Kasui  
JoJo's Bizarre Adventure (ジョジョの奇妙な冒険 JoJo no Kimyō na Bōken),#1-2 1987,#17 1999,1999 Hirohiko Araki 
Star Bakuhatsu (スタア爆発),#3-4 1987,#22 1987,Hideaki Hataji  
