Manga,First Issue ,Final Issue ,Mangaka  
Pankra Boy (PANKRA BOY),#13 1987,#23 1987,Jun Tomizawa  
Majinryū Barion (魔神竜バリオン),#22 1987,#32 1987,Yoshihiro Kuroiwa  
The Burning Wild Man (燃える!お兄さん),#23 1987,#34 1991,Tadashi Satō  
God Sider (ゴッドサイダー),#24 1987,#51 1988,Kōji Maki  
Tokubetsu Kōtsū Kidōtai Super Patrol (特別交通機動隊 SUPER PATROL),#32 1987,#46 1987,Ryūji Tsugihara  
Present from Lemon (プレゼント・フロム LEMON),#33 1987,#51 1987,Masakazu Katsura  
Yūrei Kozō ga Yatte Kita! (ゆうれい小僧がやってきた!),#34 1987,#24 1988,Yudetamago  
The Momotaroh (THE MOMOTAROH),#42 1987,#50 1989,Makoto Niwano  
No Side (ノーサイド),#43 1987,#1-2 1988,Taku Chiba  
Otoboke Nako-sensei (おとぼけ茄子先生),#44 1987,#14 1988,Yutaka Takahashi (as Yutaka Takaki)  
Hard Luck (ハードラック),#52 1987,#12 1988,Takashi Kisaki  
Cosmos Striker (コスモスストライカー),#1-2 1988,#15 1988,Kenichi Tanaka  Shingo Todate 
Haruka Kanata (はるかかなた),#3-4 1988,#23 1988,Ryō Watanabe  
Bastard‼ (BASTARD!! -暗黒の破壊神-),#14 1988,#36 1989,Kazushi Hagiwara  
Jungle King Tar-chan (ジャングルの王者ターちゃん♡),#15 1988,#26 1990,Masaya Tokuhiro  
Second (セコンド),#16 1988,#21 1988,Yasuki Inoue  
Kami-sama wa Southpaw (神様はサウスポー),#22 1988,#31 1990,Shinji Imaizumi  
Hengen Sennin Asuka♡ (変幻戦忍アスカ♡),#23 1988,#40 1988,Yoshihiro Kuroiwa  
Niji no Runner (虹のランナー),#24 1988,#36 1988,Taku Chiba  
Rokudenashi Blues (ろくでなしBLUES),#25 1988,#10 1997,Masanori Morita  
Kachū no Senshi: Masatake (-甲冑の戦士-雅武),#35 1988,#50 1988,Yoshihiro Takahashi  
Matte! Sailor Fuku Knight (舞って!セーラー服騎士),#36 1988,#47 1988,Teruto Arika  
Sho no Densetsu (翔の伝説),#39 1988,#13 1989,Yoichi Takahashi  
Magical Taluluto (まじかる☆タルるートくん),#49 1988,#40 1992,Tatsuya Egawa  
Boku ga Shitakata-kun (ボクはしたたか君),#50 1988,#18 1990,Motoei Shinzawa  
Kyōryū Daikikō (恐竜大紀行),#51 1988,#12 1989,Daimurō Kishi  
Cyber Blue (CYBERブルー),#52 1988,#32 1989,BOB  Takaichi Mitsui  Tetsuo Hara
Super Machine Run (スーパーマシンRUN),#13 1989,#23 1989,Akira Watanabe  
The Edge (THE EDGE ジ・エッジ),#14 1989,#29 1989,Katsuyasu Nagasawa  
Cyborg Jīchan G (CYBORGじいちゃんG),#22 1989,#52 1989,Takeshi Obata (as Shige Hijikata)  
Hayato 18-ban Shōbu (隼人18番勝負),#23 1989,#39 1989,Ryūji Tsugihara  
Scrap Sandayū (SCRAP三太夫),#24 1989,#40 1989,Yudetamago  
Ten de Shōwaru Cupid (てんで性悪キューピッド),#32 1989,#13 1990,Yoshihiro Togashi  
Chameleon Jail (カメレオンジェイル),#33 1989,#44 1989,Kazuhiko Watanabe  Takehiko Inoue (as Takehiko Nariai) 
Kenkaku Shibui Kakinosuke (剣客 渋井柿之介),#37 1989,#47 1989,Yutaka Takahashi  
The Green Eyes (ザ・グリーンアイズ),#40 1989,#10 1990,Kōji Maki  
Tobikkiri (とびっきり!),#41 1989,#23 1990,Takashi Kisaki  
Dragon Quest: Dai no Daibōken (DRAGON QUEST -ダイの大冒険-),#45 1989,#52 1996,Riku Sanjo  Yuji Horii  Kôji Inada
Video Girl Ai (電影少女),#51 1989,#31 1992,Masakazu Katsura  
AT Lady! (AT Lady! (オートマティック・レディ)),#52 1989,#11 1990,Takeshi Okano (as Takeshi Nomura)  
