Manga,First Issue ,Final Issue ,Mangaka
Rikki Typhoon (リッキー台風),#1 1980,#31 1980,Shinji Hiramatsu 
Izumi-chan Graffiti (いずみちゃんグラフティー),#2 1980,#40 1980,Tatsuo Kanai 
Diamond Star (ダイヤモンドスター),#3-4 1980,#22 1980,Satoshi Ikezawa 
Dr. Slump (Dr. スランプ),#5-6 1980,#39 1984,Akira Toriyama 
Otoko no Tabidachi (男の旅立ち),#19 1980,#18 1981,Yoshihiro Takahashi 
Deguchi Kyodai Funsenki (出口兄弟奮戦記),#20 1980,#32 1980,Katsuyuki Edamatsu 
Big Gun (ビッグガン),#21 1980,#30 1980,Buronson  Motoki Monda
Super Kyojin (スーパー巨人),#22 1980,#39 1980,Tsukasa Tanaka  Isshō Kabuki
Yamasaki Ginjiro (山崎銀次郎),#23 1980,#16 1981,Hiroshi Motomiya 
One Man Army (ワンマンアーミー),#24 1980,#33 1980,K-San Maekawa 
Showup High School (ショーアップ・ハイスクール),#31 1980,#41 1980,Hitoshi Tanimura 
Aa Ichiro (ああ一郎),#32 1980,#19 1981,Kōji Koseki 
Mound no Inazuma (マウンドの稲妻),#33 1980,#42 1980,Gossēji 
Bōsō Hunter (暴走ハンター),#34 1980,#47 1980,Kazuhisa Kasai  Ryūji Tsugihara
Geki! Gokutora Ikka (激!!極虎一家),#35 1980,#44 1982,Akira Miyashita 
Ōgon no Bantam (黄金のバンタム),#40 1980,#2-3 1981,Yoshinori Takayama  Norihiro Nakajima
Sannen Kimen-gumi (3年奇面組),#41 1980,#17 1982,Motoei Shinzawa 
Boku-tachi no Sensen (ぼくたちの戦線),#42 1980,#46 1980,Izumi Aburai 
Bun no Ao Shun! (ブンの青シュン!),#43 1980,#52 1981,Takeshi Miya 
Mario (マリオ),#47 1980,#8 1981,Akira Nakahara  Yasuyuki Kitahara
Kumamotoken (熊元拳),#4-5 1981,#17 1981,Jin Nishima 
Hinomaru Gekijō (ひのまる劇場),#6 1981,#29 1981,Hisashi Eguchi 
Forever Kamiko-kun (フォーエバー神児くん),#17 1981,#46 1981,Tsuyuki Edamatsuka 
Captain Tsubasa (キャプテン翼),#18 1981,#22 1988,Yōichi Takahashi 
Fine Play (ファインプレー),#19 1981,#28 1981,Geki Fujimori  Masato Yamaguchi
Makenshi (魔剣士),#20 1981,#32 1981,Sachio Umemoto  Motoki Monma
Rock 'n Roll Monogatari (ロックンロール物語),#21 1981,#30 1981,Makoto Nakahara  Kazuhira Minami
Guts Try (ガッツトライ),#29 1981,#38 1981,Tsukasa Tanaka 
Super Police (スーパーポリス),#30 1981,#40 1981,Hitoshi Tanimura 
Kaidō Racer GO (街道レーサーGO),#31 1981,#53 1981,Satoshi Ikezawa 
Shaka no Musuko (シャカの息子),#32 1981,#50 1981,George Akamiya 
Gal ga Rival (ギャルがライバル),#33 1981,#18 1982,K-San Maekawa 
Aozora Fishing (青空フィッシング),#34 1981,#24 1982,Hiroichi Fuse  Yoshihiro Takahashi
Kōshien no Ōkami (甲子園の狼),#36 1981,#39 1981,Ryōji Ryūzaki 
Cat's♥Eye (キャッツ♥アイ),#40 1981,#44 1984,Tsukasa Hojo 
Stop!! Hibari-kun! (ストップ!! ひばりくん!),#45 1981,#51 1983,Hisashi Eguchi 
Black Angels (ブラック・エンジェルズ),#46 1981,#23 1985,Shinji Hiramatsu 
Ikaros no Ken (イカロスの拳),#47 1981,#5 1982,Keiji Natsume 
Commander 0 (コマンダー0),#53 1981,#16 1981,Jun Tomizawa 
Scram (スクラム),#1-2 1982,#13 1982,Kōji Koseki 
Gomen Kudasai!! Alligator (ごめんください!! アリゲーター),#1-2 1982,#5 1982,Hiroshi Aro 
Fūma no Kojirō (風魔の小次郎),#3-4 1982,#49 1983,Masami Kurumada 
Kick Off (キックオフ),#5 1982,#50 1983,Taku Chiba 
High School! Kimengumi (ハイスクール!奇面組),#18 1982,#30 1987,Motoei Shinzawa 
The Fighter (THEファイター),#18 1982,#31 1982,Toshio Taniue 
Yoroshiku Haruichiban (よろしく春一番),#19 1982,#30 1982,Norihiro Nakajima 
Cosmos End (コスモスエンド),#20 1982,#32 1982,Toshio Kasahara (as Kasahara Tom) 
Wing Shot (ウイニングショット),#21 1982,#43 1982,Kenichi Kotani 
Omisore! Toloburijō (おみそれ!トラぶりっ娘),#26 1982,#35 1982,Hiroshi Aro 
Yabure Kabure (やぶれかぶれ),#31 1982,#8 1983,Hiroshi Motomiya 
Nobu ga Yuku (野武がゆく),#32 1982,#42 1982,Motoki Monda 
Jun (Jun),#33 1982,#42 1982,Hiromi Morishita 
Shō to Daichi (翔と大地),#34 1982,#13 1983,Yoshihiro Takahashi 
Umi no Senshi (海の戦士),#43 1982,#52 1982,Tetsuya Saruwatari 
Yoroshiku Mechadoc (よろしくメカドック),#44 1982,#51 1985,Ryuji Tsugihara 
Tetsu no Don Quijote (鉄のドンキホーテ),#45 1982,#3 1983,Tetsuo Hara 
Mekkin Butai (滅菌部隊),#46 1982,#50 1982,Kiichiro Tomosu 
Hassaitai wo Nuke (破砕帯をぬけ),#51 1982,#5-6 1983,Kazuhito Yumi 
Scandoll (スキャンドール),#3 1983,#39 1983,Kenichi Kotani 
Aa! Bishamon Kōkō (嗚呼!!毘沙門高校),#4 1983,#25 1983,Akira Miyashita 
Wing-Man (ウイングマン),#5-6 1983,#39 1985,Masakazu Katsura 
Can☆Can Every Day (CAN☆キャンえぶりでい),#15 1983,#26 1983,Hisashi Tanaka (as Hisuwashi) 
Mad Dog (マッドドッグ),#22 1983,#31 1983,Buronson  Kei Takazawa
Shape Up Ran (シェイプアップ乱),#26 1983,#1-2 1986,Masaya Tokuhiro 
Tenchi wo Kurau (天地を喰らう),#27 1983,#38 1984,Hiroshi Motomiya 
Albatross Tonda (アルバトロス飛んだ),#32 1983,#42 1983,Akira Nakahara  Motoki Monda
Fist of the North Star (北斗の拳),#41 1983,#35 1988,Buronson  Tetsuo Hara
Mashōnen B.T. (魔少年ビーティー),#42 1983,#51 1983,Hirohiko Araki 
Ashita Tenpei (あした天兵),#43 1983,#14 1984,Jūzō Yamasaki  Hideaki Hataji
Ginga -Nagareboshi Gin- (銀牙 -流れ星 銀-),#50 1983,#13 1987,Yoshihiro Takahashi 
Kikai Senshi Girufā (機械戦士ギルファー),#51 1983,#13 1984,Motohiro Nishio  Kōji Maki
Bogī The Great (ボギー THE GREAT),#52 1983,#30 1984,Akira Miyashita 
Mr. Whity (Mr.ホワイティ),#14 1984,#23 1984,Ken Kitashiba  Tetsuya Saruwatari
Kimagure Orange Road (きまぐれオレンジ☆ロード),#15 1984,#42 1987,Izumi Matsumoto 
Tottemo Shōnen Kantenkai (とっても少年探検隊),#20 1984,#27 1984,Hiroshi Aro 
Kid (KID),#22 1984,#40 1984,Kenichi Kotani 
Killer Boy (キラーBOY),#28 1984,#43 1984,Masatori Usune 
Otokozaka (男坂),#32 1984,#12 1985,Masami Kurumada 
Ama Gonzui (海人ゴンズイ),#40 1984,#50 1984,George Akiyama 
Gakuen Jōbōbu H.I.P. (ガクエン情報部H.I.P.),#44 1984,#22 1985,Jun Tomizawa 
Baoh (バオー来訪者),#45 1984,#11 1985,Hirohiko Araki 
Dragon Ball (ドラゴンボール),#51 1984,#25 1995,Akira Toriyama 
Bakudan (ばくだん),#52 1984,#30 1985,Hiroshi Motomiya 
