Manga,First Issue ,Final Issue ,Mangaka
Pinboke Shata (ピンボケ写太),#1 1978,#29 1978,Jō Biggu 
Kazoku Dōbutsuen (家族動物園),#2 1978,#23 1978,Kōichi Iimori 
Sawayaka Mantarō (さわやか万太郎),#3-4 1978,#39 1979,Hiroshi Motomiya 
Keisatsuinu Monogatari Keishichō • Kanshikika Amano Shigeo Funtōki (警察犬物語 警視庁・鑑識課雨野しげお奮闘記),#21 1978,#41 1979,Kōsuke Mitsuki  Saburō Ishikawa
Kaitei Poseidon (怪艇ポセイドン),#22 1978,#30 1978,Takeshi Matsutani 
Karate Inochi (カラテいのち),#30 1978,#44 1978,Hisao Maki  Takashi Nishioka
Inochi Mikoto (命 MIKOTO),#31 1978,#41 1978,Kōtarō Komuro 
Rock 'n Roll Baseball (ロックンロールベースボール),#32 1978,#42 1978,Seidō Takeshi  Kazuo Miyazaki
Ruse! Ruse!! (ルーズ!ルーズ!!),#42 1978,#9 1979,Kontarō 
Watari Kyōshi (渡り教師),#43 1978,#2 1979,Yoshinori Takayama  Kenichi Kotani
Bikubiku Nyanko (びくびくニャンコ),#44 1978,#1 1979,Kazuo Ōhei 
Cobra (コブラ),#45 1978[26],#48 1984[26],Buichi Terasawa 
Studio Help (スタジオHELP),#3-4 1979,#17 1979,Jō Biggu 
Yasei no Bible (野生のバイブル),#5 1979,#18 1979,Masaharu Kojima 
Gō Shūto Seishun Nikki Go☆Shoot (剛秀人青春日記 GO☆シュート),#18 1979,#20 1980,Takeshi Miya 
Sky Eagle (スカイイーグル),#19 1979,#30 1979,Shirō Tōzaki  Yoshikazu Kawajima
Sasurai Kishidō (さすらい騎士道),#20 1979,#31 1979,Hirotoku Nakajima 
Shiritsu Kiwamemichi Kōkō (私立極道高校),#21 1979,#11 1980,Akira Miyashita 
Kinnikuman (キン肉マン),#22 1979[27],#21 1987[27],Yudetamago 
Tennis Boy (テニスボーイ),#31 1979,#9 1980,Satoshi Terajima  Kenichi Kotani
Kurokitaka (黒き鷹),#33 1979,#42 1979,Kontarō 
Ohayō Mimi-chan (おはようミミちゃん),#34 1979,#36 1979,Tatsurō Harada 
Aapare Ikka (あっぱれ一家),#40 1979,#42 1979,Hiroyuki Kobayashi 
Rajikon Sensō (ラジコン戦争),#41 1979,#9 1980,James Takaki  Yoshikazu Kawajima
Netsukyū Suikoden (熱球水滸伝),#42 1979,#52 1979,Norihiro Nakajima 
Massugu ga Iku (真直がいく),#43 1979,#1 1980,Mushitarō Kabuto 
Futari no Dābī (ふたりのダービー),#44 1979,#18 1980,Tsukasa Tanaka 
Mannenyuki no Mieru Ie (万年雪のみえる家),#46 1979,#17 1980,Hiroshi Motomiya 
