Manga,First Issue ,Final Issue ,Mangaka
Blue City (ブルーシティー),#2 1976,#21 1976,Yukinobu Hoshino 
Onsen Boy (温泉ボーイ),#3-4 1976,#20 1976,Kimio Yanagisawa 
Akutare Kyojin (悪たれ巨人),#5-6 1976,#9 1980,Yoshihiro Takahashi 
Satellite no Niji (サテライトの虹),#7 1976,#33 1976,Kaoru Akimoto  Tadashi Katō
Ankoku Shinwa (暗黒神話),#20 1976,#25 1976,Daijirō Morohoshi 
ProWres tai Jūdō (プロレス対柔道),#21 1976,#26 1976,Yasuo Sakurai  Ryōji Ryūzaki
Hoankan Jō (保安官ジョー),#26 1976,#37 1976,Toshiaki Matsushima  Eijiro Sawamoto
Neppu no Tora (熱風の虎),#27 1976,#9 1977,Motoka Murakami 
Tōdai Icchokusen (東大一直線),#28 1976,#45 1979,Yoshinori Kobayashi 
Peranmē Holmes (べらんめえホームズ),#29 1976,#43 1976,Yasumi Yoshizawa 
Boronbo-sensei (ボロンボ先生),#30 1976,#40 1976,Wataru Sakawa 
Condor no Tsubasa (コンドルの翼),#31 1976,#45 1976,Norihiro Nakajima 
Yon-chome no Kaijin-kun (四丁目の怪人くん),#34 1976,#16 1977,Takeshi Matsutani 
Jitsuroku Kyojin-dai Monogatari (実録巨人軍物語),#35 1976,#52 1976,Kensei Yoshida  Ryōji Ryūzaki
Hokuto no Kishi (北斗の騎士),#41 1976,#3 1977,Shirō Tōzaki  Ippei Minami
Kochira Katsushika-ku Kameari Kōen-mae Hashutsujo (こちら葛飾区亀有公園前派出所),#42 1976,#42 2016,Osamu Akimoto 
U.F.O. Kari (UFO狩り),#1 1977,#4 1977,Kōsuke Mitsuki 
Ring ni Kakero (リングにかけろ),#2 1977,#44 1981,Masami Kurumada 
Yami no Tōbōi (闇の逃亡医),#7 1977,#30 1977,Kiyoshi Takayama  Tadashi Katō
Asatarō-den (朝太郎伝),#8 1977,#15 1977,Norihiro Nakajima 
Yacchin (やっちん),#15 1977,#29 1977,Yasumi Yoshizawa 
Jump Minwa Gekijō (JUMP民話劇場),#16 1977,#31 1977,Jizō Tanuki  Toshi Noma
Jambo de Gomen Nasutte (ジャンボでごめんなすって),#21 1977,#29 1977,Jin Inoue 
Hole in One (ホールインワン),#23 1977,#49 1979,Takeji Kagami  Tatsuo Kanai
Shiroi Kairyudo (白い狩人),#31 1977,#41 1977,Shiro Tōzaki  Masaharu Kojima
Yūkari no Moku no Moto de (ユーカリの木のもとで),#32 1977,#42 1977,Keiji Nakazawa 
Big 1 (BIG1),#33 1977,#52 1977,Masatoshi Suzuki 
Kaiki Manatsu no Yawa (怪奇真夏の夜話),#35 1977,#41 1977,Toshi Noma 
Susume!! Pirates (すすめ!!パイレーツ),#41 1977,#46 1980,Hisashi Eguchi 
Kyojin-tachi no Densetsu (巨人たちの伝説),#42 1977,#48 1977,Yukinobu Hoshino 
Kōshi Ankoku Den (孔子暗黒伝),#50 1977,#9 1978,Daijirō Morohoshi 
