Manga,First Issue,Final Issue,Manga artist
Lock On! (ロックオン!, Rokku On),#12, 2010,#30, 2010,Kenta Tsuchida
Kiben Gakuha, Yotsuya-senpai no Kaidan (詭弁学派、四ッ谷先輩の怪談),#13, 2010,#31, 2010,Haruichi Furudate
Metallica Metalluca (メタリカメタルカ, Metarika Metaruka),#24, 2010[31],#41, 2010[31],Teruaki Mizuno
Shōnen Shikku (少年疾駆),#25, 2010[32],#40, 2010[32],Yūto Tsukuda
SWOT (スウォット),#31, 2010[33],#51, 2010[33],Naoya Sugita
Ōmagadoki Dōbutsuen (逢魔ヶ刻動物園),#32, 2010[34],#19, 2011[34],Kōhei Horikoshi
Enigma (ǝnígmǝ【エニグマ】, Eniguma),#41, 2010[35],#47, 2011[35](completed in Jump Next!),Kenji Sakaki
Light Wing (ライトウィング, Raito Wingu),#42, 2010[36],#14, 2011[36],Hideo Shinkai
Dois Sol (ドイソル, Doi Soru),#13, 2011[37],#28, 2011[37],Katsutoshi Murase
Märchen Ōji Grimm (メルヘン王子グリム, Meruhen Ōji Gurimu),#12, 2011,#30, 2011,Kizuku Watanabe
Magico (マジコ, Majiko),#13, 2011,#31, 2012 (completed in Jump Next!),Naoki Iwamoto
Sengoku Armors (戦国ARMORS),#14, 2011,#31, 2011[38],Shōta Sakaki
Kikai Banashi Hanasaka Ikkyū (奇怪噺 花咲一休),#23, 2011,#38, 2011,Kenta Komiyama, Yūya Kawada
Stars (ST&RS -スターズ-, Sutāzu),#30, 2011[39],#20, 2012[39],Ryōsuke Takeuchi, Masaru Miyokawa
Kagami no Kuni no Harisugawa (鏡の国の針栖川),#31, 2011[40],#11, 2012[40],Yasuhiro Kanō
Kurogane (クロガネ),#39, 2011,#9, 2013,Haruto Ikezawa
Nisekoi (ニセコイ),#48, 2011[41],#36-37, 2016[42],Naoshi Komi
Genson! Kodai Seibutsu-shi Packy (現存!古代生物史パッキー, Genson! Kodai Seibutsu-shi Pakkī),#49, 2011[43],#23, 2012[43],Retsu
Haikyū!! (ハイキュー!!),#12, 2012[44],present,Haruichi Furudate
Pajama na Kanojo. (パジャマな彼女。),#13, 2012[45],#40, 2012[45],Kōsuke Hamada
Koisome Momiji (恋染紅葉),#24, 2012[46],#51, 2012[46],Tsugirō Sakamoto, Tadahiro Miura
Saiki Kusuo no Psi-nan (斉木楠雄のΨ難, Saiki Kusuo no Sainan),#24, 2012,#13, 2018,Shūichi Asō
Sensei no Bulge (戦星のバルジ, Sensei no Baruji),#25, 2012,#41, 2012,Kōhei Horikoshi
Assassination Classroom (暗殺教室, Ansatsu Kyōshitsu),#31, 2012[47],#16, 2016[48],Yūsei Matsui
Takamagahara (タカマガハラ),#32, 2012[49],#49, 2012[49],Jūzō Kawai
Retsu!!! Date Senpai (烈!!!伊達先パイ),#41, 2012[50],#10, 2013[50],Shinsuke Kondō
Cross Manage (クロス・マネジ, Kurosu Maneji),#42, 2012[51],#34, 2013[51] (completed in Jump Next!),Kaito
Hungry Joker (HUNGRY JOKER),#50, 2012[52],#24, 2013[52],Yūki Tabata
Shinmai Fukei Kiruko-san (新米婦警キルコさん),#51, 2012[53],#25, 2013[53],Masahiro Hirakata
Food Wars: Shokugeki no Soma (食戟のソーマ, Shokugeki no Sōma),#52, 2012[54],present,Yūto Tsukuda, Shun Saeki, Yuki Morisaki
Koisuru Edison (恋するエジソン, Koisuru Ejison),#10, 2013[55],#35, 2013[55],Kizuku Watanabe
World Trigger (ワールドトリガー, Wārudo Torigā),#11, 2013[56],present,Daisuke Ashihara
Soul Catcher(S) (ソウル キャッチャーズ, Sōru Kyatchāzu),#24, 2013[57],#31, 2014[57] (moved to & completed in Jump Next!!),Hideo Shinkai
Mutō Black (無刀ブラック, Mutō Burakku),#25, 2013[58],#36, 2013[58],Daijirō Nonoue
Smoky B.B. (スモーキーB.B., Sumōkī Bī Bī),#26, 2013[59],#41, 2013[59],Kenta Komiyama, Yūya Kawada
Jaco the Galactic Patrolman (銀河パトロール ジャコ, Ginga Patorōru Jako),#33, 2013[60],#44, 2013[60],Akira Toriyama
Kurokuroku (クロクロク),#35, 2013[61],#52, 2013[61],Atsushi Nakamura
Hime-dol!! (ひめドル!!, Himedoru),#36, 2013[62],#52, 2013[62],Kazurō Kyō
Hachi -Tokyo 23-ku- (HACHI -東京23宮-),#42, 2013,#12, 2014,Yoshiyuki Nishi
Koi no Cupid Yakenohara Jin (恋のキューピッド 焼野原塵, Koi no Kyūpiddo Yakenohara Jin),#43, 2013[63],#12, 2014[63],Tomohiro Hasegawa
Isobe Isobee Monogatari: Ukiyo wa Tsurai yo (磯部磯兵衛物語～浮世はつらいよ～),#47, 2013[64],#46, 2017,Ryō Nakama
Iron Knight (アイアンナイト, Aian Naito),#1, 2014[65],#18, 2014[65],Tomohiro Yagi
Illegal Rare (ILLEGAL RARE, Irīgaru Rea),#11, 2014[66],#41, 2014[66],Hiroshi Shiibashi
iShōjo (i・ショウジョ),#12, 2014[67],#32, 2014[67] (moved to "Jump LIVE!", continued in "ShōnenJump+" as iShōjo+),Toshinori Takayama
Stealth Symphony (ステルス交境曲),#13, 2014[68],#33, 2014[68],Ryōgo Narita, Yōichi Amano
Tokyo Wonder Boys (TOKYO WONDER BOYS, Tōkyō Wandā Bōizu),#14, 2014[69],#24, 2014[69],Kento Shimoyama, Tsunehiro Date
Hinomaru Zumō (火ノ丸相撲),#26, 2014,present,Kawada
My Hero Academia (僕のヒーローアカデミア, Boku no Hīrō Akademia),#32, 2014[70],present,Kōhei Horikoshi
Mitsukubi Condor (三ツ首コンドル, Mitsukubi Kondoru),#33, 2014[71],#49, 2014[71],Ryō Ishiyama
Yoakemono (ヨアケモノ),#34, 2014[72],#50, 2014[72],Yūsaku Shibata
Judos (ジュウドウズ, Jūdōzu),#41, 2014[73],#8, 2015[73],Shinsuke Kondou
Hi-Fi Cluster (ハイファイクラスタ),#42, 2014[74],#9, 2015[74],Ippei Gotō
Sporting Salt,#43, 2014[75],#10, 2015[75],Yûto Kubota
Takujō no Ageha (卓上のアゲハ),#51, 2014[76],#22-23, 2015[76],Itsuki Furuya
E-Robot (E-ROBOT),#52, 2014,#12, 2015,Ryohei Yamamoto
