Manga,First Issue ,Final Issue ,Mangaka  
Ace! (エース!),#1-2 1990,#26 1991,Yoichi Takahashi  
Keiji (花の慶次 ―雲のかなたに―),#13 1990,#33 1993,Keiichiro Ryu  Tetsuo Hara  Aso Mio
Hikaru! Chachacha!! (ひかる!チャチャチャッ!!),#14 1990,#25 1991,Kenji Minomo  
Sakenomi☆Dōji (酒呑☆ドージ),#15 1990,#30 1990,Haruto Umezawa (as Isao Umezawa)  
Crisis Diver (クライシスダイバー),#26 1990,#37 1990,Shingo Todate  Kō Nimaiya 
Shin Jungle no Ōja Tar-chan ♡ (新ジャングルの王者ターちゃん♡),#27 1990,#18 1995,Masaya Tokuhiro  
GP Boy (GP BOY),#31 1990,#47 1990,Kunihiko Akai  Hirohisa Onikubo 
Fushigi Hunter (不思議ハンター),#32 1990,#48 1990,Yukihiro Izuka  Yoshihiro Kuroiwa 
Kickboxer Mamoru (蹴撃手マモル),#33 1990,#13 1991,Yudetamago  
Metal Fish (METAL FISH),#41 1990,#1-2 1991,Masaru Miyazaki  Nobutoshi Ejinara 
Slam Dunk (SLAM DUNK),#42 1990,#27 1996,Takehiko Inoue  
Chinyūki: Tarō to Yukai na Nakama-tachi (珍遊記: 太郎とゆかいな仲間たち),#49 1990,#13 1992,Man☆gataro  
Dengyan -Nanpō Kumagusu-den- (てんぎゃん -南方熊楠伝-),#50 1990,#10 1991,Daimurō Kishi  
Yū☆Yū☆Hakushō (幽☆遊☆白書),#51 1990,#32 1994,Yoshihiro Togashi  
Chokidō Bōhatsu Shūkyū Yarō Riboro no Takeda (超機動暴発蹴球野郎 リベロの武田),#13 1991,#30 1992,Makoto Niwano  
Outer Zone (アウターゾーン),#14 1991,#15 1994,Shin Mitsuhara  
Pennant Race: Yamada Taiichi no Kiseki (ペナントレース やまだたいちの奇蹟),#25 1991,#3-4 1994,Kōji Koseki  
Time Walker Rei (タイムウォーカー零),#26 1991,#48 1991,Yūki Hidaka  
Don Vulcan -Seinaru Otoko no Densetsu- (ドン・ボルガン -聖なる男の伝説-),#27 1991,#38 1991,Ryūji Tsugihara  
F no Senkō -Ayrton Senna no Chōsen- (Fの閃光 -アイルトン・セナの挑戦-),#35 1991,#51 1991,Kōyū Nishimura  Katsuyasu Nagasawa  Hirohisa Onikubo
Ten Yori Takaku! (天より高く!),#40 1991,#8 1992,Yūko Asami  
Tengai-kun no Kareinaru Nayami (天外君の華麗なる悩み),#41 1991,#6 1992,Makura Shō  
Tennenshoku Danji Buray (天然色男児BURAY),#50 1991,#12 1992,Kazuki Takahashi (as Kazumasa Takahashi)  
Majin Bōkentan Lamp Lamp (魔神冒険譚 ランプ・ランプ),#52 1991,#25 1992,Fujinobu Izumi  Takeshi Obata 
Change Up!! (チェンジUP!!),#12 1992,#33 1992,Shinji Imaizumi  
Monmonmon (モンモンモン),#13 1992,#50 1993,Tsunomaru  
Yagyū Reppuken Ren'ya (柳生烈風剣連也),#14 1992,#24 1992,Takashi Noguchi  
Bakuhatsu! Uchū Kuma-san Tāta Bear & Kikuchiyo-kun (爆発!宇宙クマさんタータ・ベア&菊千代くん),#18 1992,#39 1992,Tadashi Satō  
Baramon no Kazoku (瑪羅門の家族),#25 1992,#12 1993,Akira Miyashita  
Hareluya (HARELUYA),#26 1992,#35 1992,Haruto Umezawa  
Bonbonzaka High Drama Club (ボンボン坂高校演劇部),#34 1992,#30 1995,Yutaka Takahashi  
Silent Knight Shō (SILENT KNIGHT翔),#35 1992,#48 1992,Masami Kurumada  
Ōzumo Keiji (大相撲刑事),#40 1992,#49 1992,Tarō Gachon  
Chibi (CHIBI-チビ-),#41 1992,#45 1993,Yoichi Takahashi  
Kyūkyoku!! Hentai Kamen (究極!!変態仮面),#42 1992,#46 1993,Keishū Ando  
BØY (BØY -ボーイ-),#50 1992,#9 1999,Haruto Umezawa  
Psycho+ (PSYCHO+),#51 1992,#11 1993,Ryu Fujisaki  
Rikito Densetsu -Oni wo Tsugu Mono- (力人伝説 -鬼を継ぐ者-),#52 1992,#23 1993,Masaru Miyazaki  Takeshi Obata 
Faiasuno no Kaze (ファイアスノーの風),#13 1993,#24 1993,Hidetoshi Sugine (as Hideaki Matsune)  
Genshoku Chōjin Paintman (原色超人PAINTMAN),#14 1993,#25 1993,Fumihiko Ōta  
Vice (VICE -ヴァイス-),#25 1993,#34 1993,Yoshihiro Yanagawa  
Ninku (NINKU -忍空-),#26 1993,#38 1995,Kōji Kiriyama  
Komorebi no Moto de... (こもれ陽の下で…),#31 1993,#5-6 1994,Tsukasa Hojo  
Tottemo! Luckyman (とっても!ラッキーマン),#35 1993,#30 1997,Hiroshi Gamō  
D·N·A² ~Dokokade Nakushita Aitsuno Aitsu~ (D・N・A² 〜何処かで失くしたあいつのアイツ〜),#36-37 1993,#29 1994,Masakazu Katsura  
Hell Teacher Nūbē (地獄先生ぬ〜べ〜),#38 1993,#24 1999,Makura Shō  Takeshi Okano 
Neural Network Melinda♡Fight (ニューラル ネットワーク ミリンダ♡ファイト),#47 1993,#7 1994,Tadashi Satō  
Chōdokyū Senshi Justice (超弩級戦士ジャスティス),#48 1993,#11 1994,Kazutoshi Yamane  
Kurayami wo Buttobase! (暗闇をぶっとばせ!),#2 1994,#16 1994,Hiroyuki Miyazaki  Shinji Imaizumi 
Bomber Girl (BOMBER GIRL),#7 1994,#17 1994,Makoto Niwano  
Suizan Police Gang (翠山ポリスギャング),#8 1994,#28 1994,Shinobu Kaitani  
Jigoku Senshi Maō (地獄戦士魔王),#9 1994,#38 1994,Makoto Karibe  
Kagemusha Tokugawa Ieyasu (影武者徳川家康),#12 1994,#13 1995,Keniichirō Ryū  Tetsuo Hara  Sho Aikawa
Ousama wa Roba ~Hattari Teikoku no Gyakushū~ (王様はロバ〜はったり帝国の逆襲〜),#17 1994,#52 1996,Kokichi Naniwa  
Captain Tsubasa: Principe Del Sole/World Youth Saga (キャプテン翼 太陽王子編/-ワールドユース編-),#18 1994,#37-38 1997,Yoichi Takahashi  
Rurouni Kenshin (るろうに剣心 -明治剣客浪漫譚-),#19 1994,#43 1999,Nobuhiro Watsuki  
